,City,Lat,Lng,Max temp,Humidity,Cloudiness,Wind Speed,Date
180,aberdeen,57.1437,-2.0981,35.01,93,90,14.97,1612609049
181,kjollefjord,70.9457,27.3465,25.77,94,100,15.95,1612609049
182,ayan,56.45,138.1667,-6.3,85,100,15.68,1612609049
183,novichikha,52.204,81.3877,26.65,97,32,11.14,1612609049
184,mudu,31.252,120.5118,51.01,91,0,2.42,1612609049
185,faanui,-16.4833,-151.75,81.59,70,38,10.31,1612608579
186,camargo,27.6667,-105.1667,55.22,36,0,8.43,1612609050
187,oromocto,45.8351,-66.4792,32.0,93,90,3.44,1612609050
188,tisovec,48.6774,19.9436,32.0,93,90,3.44,1612609050
189,launceston,-41.45,147.1667,61.0,77,75,13.8,1612608791
190,matagami,49.7502,-77.6328,17.6,73,90,10.36,1612609050
191,kahului,20.8947,-156.47,60.8,82,20,3.44,1612609050
192,vila velha,-20.3297,-40.2925,77.0,83,0,9.22,1612608630
193,rioja,-29.4111,-66.8507,73.0,53,0,3.13,1612608756
194,iqaluit,63.7506,-68.5145,14.0,85,1,9.22,1612608589
195,singaraja,-8.112,115.0882,80.65,79,68,8.88,1612608789
196,wuda,39.4994,106.7117,33.64,73,0,10.25,1612609051
197,eureka,40.8021,-124.1637,46.99,92,7,4.72,1612609051
198,dhule,20.9,74.7833,83.75,19,0,4.74,1612609051
199,jiuquan,39.7432,98.5174,32.23,69,2,4.36,1612609041
200,ponta delgada,37.7333,-25.6667,59.0,82,20,9.22,1612609051
201,ranot,7.7777,100.3213,80.11,77,52,11.52,1612609051
202,danielskuil,-28.1887,23.5395,83.46,34,7,2.42,1612609051
203,vostok,46.4856,135.8833,-6.12,92,100,2.1,1612609052
204,lata,40.1629,-8.3327,52.0,97,97,1.01,1612609052
205,gazanjyk,39.2446,55.5154,53.92,66,99,15.52,1612608611
206,voi,-3.3945,38.563,89.91,39,5,9.37,1612609052
207,provideniya,64.3833,-173.3,6.37,92,83,3.98,1612609053
208,dennery,13.8996,-60.8879,76.87,72,11,18.88,1612609053
209,hasaki,35.7333,140.8333,44.6,81,0,2.3,1612608577
210,tomatlan,19.9333,-105.25,70.16,82,82,3.09,1612608629
211,port alfred,-33.5906,26.891,75.99,86,81,5.01,1612608565
212,yarmouth,41.7057,-70.2286,35.6,64,1,8.05,1612609053
213,zhangye,38.9342,100.4517,32.2,71,0,3.51,1612608993
214,holoby,51.0865,25.0077,28.99,75,64,4.0,1612609053
215,saint george,37.1041,-113.5841,41.0,48,1,6.91,1612608559
216,clyde river,70.4692,-68.5914,-9.4,77,90,4.0,1612608554
217,kidal,18.4411,1.4078,83.3,13,87,21.3,1612609054
218,carutapera,-1.195,-46.02,82.65,70,86,10.51,1612608573
219,nemuro,43.3236,145.575,30.2,93,75,5.75,1612608569
220,pundaguitan,6.3711,126.1689,82.72,75,100,18.48,1612609054
221,zelenogradsk,54.9589,20.4767,14.0,85,40,4.47,1612609054
222,gbadolite,4.2833,21.0167,98.6,19,48,7.94,1612609055
223,lavrentiya,65.5833,-171.0,2.08,92,100,5.32,1612608577
224,lompoc,34.6391,-120.4579,48.2,93,1,3.44,1612608575
225,vestmannaeyjar,63.4427,-20.2734,35.6,93,75,32.21,1612609055
226,bambous virieux,-20.3428,57.7575,86.0,66,40,11.5,1612608556
227,maldonado,-34.6667,-54.9167,70.0,88,0,7.72,1612608580
228,lodja,-3.4833,23.4333,87.6,51,96,1.72,1612609055
229,karwar,14.8,74.1333,83.25,49,70,7.63,1612609055
230,mukhen,48.1,136.1,-6.54,90,100,2.44,1612609055
231,teguldet,57.3064,88.1667,23.38,98,100,6.78,1612609055
232,egvekinot,66.3167,-179.1667,-5.08,85,100,9.53,1612608611
233,ashqelon,31.6693,34.5715,71.01,50,7,9.64,1612609055
234,san quintin,30.4833,-115.95,54.27,87,15,4.59,1612608626
235,san andres,12.5847,-81.7006,80.6,83,75,9.22,1612609056
236,dezhou,37.4486,116.2925,52.02,39,60,5.41,1612608973
237,burnie,-41.0667,145.9167,61.0,85,65,5.01,1612609056
238,urengoy,65.9667,78.3667,-9.74,90,100,12.97,1612609056
239,yulara,-25.2406,130.9889,89.6,22,69,10.36,1612608563
240,kinna,57.5073,12.6946,23.0,85,0,9.22,1612609056
241,pindiga,9.9833,10.9333,82.4,17,21,24.16,1612609056
242,cappelle-la-grande,50.9998,2.3585,48.0,97,100,1.01,1612609056
243,vanderhoof,54.0166,-124.0198,6.33,93,100,6.17,1612609056
244,mehamn,71.0357,27.8492,25.79,93,100,17.2,1612609057
245,hanting,36.7708,119.2108,44.62,55,11,7.74,1612609057
246,tlalnepantla,19.5269,-99.2217,57.2,54,1,4.54,1612609057
247,dubreka,9.7911,-13.5233,82.4,65,74,9.22,1612609057
248,solnechnyy,50.7214,136.6319,-7.78,88,95,2.93,1612608628
249,tsiroanomandidy,-18.7667,46.0333,81.28,66,100,5.41,1612609057
250,cidreira,-30.1811,-50.2056,67.62,75,94,10.56,1612608585
251,quatre cocos,-20.2078,57.7625,86.0,66,40,11.5,1612608603
252,ribeira grande,38.5167,-28.7,59.0,94,75,16.11,1612608574
253,cabo san lucas,22.8909,-109.9124,57.0,55,50,1.01,1612608604
254,svetlogorsk,52.6333,29.7333,11.03,91,70,8.52,1612608631
255,chililabombwe,-12.3648,27.8229,79.43,70,67,3.22,1612609057
256,geraldton,-28.7667,114.6,80.6,65,75,14.97,1612608314
257,lima,-12.0432,-77.0282,71.01,88,75,8.05,1612608611
258,victoria,22.2855,114.1577,71.01,69,0,5.26,1612608421
259,nalut,30.3333,10.85,75.42,18,99,15.39,1612608594
260,elizabeth city,36.2946,-76.2511,41.0,75,1,4.61,1612609058
261,portland,45.5234,-122.6762,41.0,87,20,2.57,1612608601
262,ust-kuyga,70.0167,135.6,-29.25,82,100,4.47,1612609058
263,hobyo,5.3505,48.5268,82.33,56,31,15.99,1612608606
264,lazaro cardenas,17.9583,-102.2,72.01,81,35,5.14,1612609058
265,adrar,20.5022,-10.0711,62.6,38,93,17.29,1612609058
266,estelle,29.8458,-90.1067,54.0,100,90,9.22,1612609059
267,hofn,64.2539,-15.2082,37.2,79,100,21.63,1612608567
268,flinders,-34.5833,150.8552,73.99,87,17,1.01,1612609059
269,fairbanks,64.8378,-147.7164,-11.2,70,90,1.97,1612608634
270,ambulu,-8.345,113.6058,79.2,83,95,2.84,1612609059
271,charters towers,-20.1,146.2667,77.72,76,85,13.78,1612609059
272,la libertad,-2.2333,-80.9,75.99,80,72,5.23,1612608607
273,yanam,16.7333,82.2167,89.6,35,99,11.5,1612608851
274,nampa,43.5407,-116.5635,30.0,100,1,2.44,1612609060
275,sur,22.5667,59.5289,75.99,35,0,12.57,1612609060
276,olafsvik,64.8945,-23.7142,35.87,79,100,17.13,1612609060
277,iranshahr,27.2025,60.6848,81.95,13,0,5.32,1612609060
278,westport,41.1415,-73.3579,33.8,51,1,4.61,1612609060
279,abadan,30.3392,48.3043,69.8,78,90,9.22,1612609060
280,shingu,33.7333,135.9833,53.6,62,40,8.05,1612609060
281,kawalu,-7.3817,108.2082,76.5,87,100,0.67,1612608596
282,grand-santi,4.25,-54.3833,73.31,96,95,1.68,1612609060
283,sola,-13.8833,167.55,82.36,73,69,4.09,1612608608
284,metro,-5.1131,105.3067,80.78,82,81,7.47,1612609061
285,phichit,16.25,100.4167,93.0,31,3,4.61,1612609061
286,eyl,7.9803,49.8164,83.46,50,0,14.41,1612608566
287,dingle,10.9995,122.6711,76.87,85,70,8.93,1612608583
288,saskylakh,71.9167,114.0833,-36.72,82,76,2.48,1612608567
289,araceli,10.5529,119.9913,80.44,83,88,19.62,1612609061
290,hami,42.8,93.45,31.66,82,11,0.09,1612608607
291,cap malheureux,-19.9842,57.6142,84.99,72,86,7.0,1612609061
292,sandakan,5.8402,118.1179,80.6,89,40,3.44,1612609061
293,roma,43.2128,-75.4557,26.6,54,90,4.61,1612608576
294,teahupoo,-17.8333,-149.2667,77.0,78,5,1.14,1612609062
295,hervey bay,-25.2986,152.8535,79.0,70,94,1.01,1612608598
296,hamilton,39.1834,-84.5333,26.01,58,90,10.36,1612609062
297,severodvinsk,64.5635,39.8302,8.6,78,75,11.18,1612609062
298,mandalgovi,45.7625,106.2708,6.01,86,4,2.91,1612609062
299,bilibino,68.0546,166.4372,-8.05,80,61,2.04,1612608603
300,butterworth,5.3991,100.3638,87.8,66,20,10.36,1612608456
301,boden,65.8252,21.6886,23.0,86,0,8.05,1612609062
302,nacala,-14.5428,40.6728,89.6,62,75,11.5,1612609062
303,dong hoi,17.4833,106.6,68.88,88,100,4.9,1612609063
304,sao joao da barra,-21.6403,-41.0511,75.2,94,75,9.22,1612609063
305,maposeni,-10.5833,35.4,82.4,61,40,5.75,1612609063
306,segezha,63.7415,34.3222,7.12,94,100,8.68,1612609063
307,real,14.6625,121.6047,82.4,69,75,8.05,1612609063
308,port hedland,-20.3167,118.5667,84.2,65,40,14.97,1612609063
309,bathsheba,13.2167,-59.5167,77.0,61,75,20.71,1612608620
310,saint-francois,46.4154,3.9054,42.8,100,75,3.8,1612608629
311,banda aceh,5.5577,95.3222,81.9,78,69,12.55,1612609064
312,bo phloi,14.3236,99.5161,90.0,28,0,6.04,1612609064
313,broome,42.2506,-75.833,24.8,58,90,11.5,1612608556
314,hay river,60.8156,-115.7999,-34.6,67,100,5.75,1612608630
315,nelson bay,-32.7167,152.15,71.01,100,40,1.14,1612608989
316,port hardy,50.6996,-127.4199,41.0,100,90,3.44,1612609064
317,vanino,49.0869,140.2543,-7.44,89,45,2.62,1612609064
318,gumdag,39.2061,54.5906,55.22,63,84,11.45,1612609064
319,kibaya,-5.3,36.5667,78.08,64,5,3.24,1612609064
320,san isidro,-12.1167,-77.05,71.01,88,75,8.05,1612609064
321,keti bandar,24.1447,67.4497,77.77,23,0,8.34,1612609064
322,rozivka,46.9385,35.7724,31.14,79,100,4.81,1612609065
323,mount gambier,-37.8333,140.7667,59.0,94,40,11.5,1612608574
324,karera,25.4667,78.15,75.54,20,0,10.29,1612609066
325,pangnirtung,66.1451,-65.7125,22.19,81,87,3.53,1612608598
326,lasa,46.6166,10.7002,43.0,93,75,5.75,1612609066
327,chernyshevskiy,63.0128,112.4714,-29.79,87,95,0.92,1612609066
328,saldanha,-33.0117,17.9442,78.8,50,0,21.85,1612608599
329,grants,35.1473,-107.8514,21.2,68,1,10.36,1612609066
330,vila do maio,15.1333,-23.2167,68.0,77,75,23.02,1612609067
331,big rapids,43.6981,-85.4837,10.99,85,90,11.5,1612609067
332,usta muhammad,28.1794,68.0445,82.47,14,0,7.05,1612609067
333,barwadih,23.8333,84.1167,71.24,41,62,2.98,1612609067
334,santarem,-2.4431,-54.7083,77.0,94,40,3.44,1612609067
335,sao joao da ponte,-15.9292,-44.0078,71.13,91,100,7.63,1612609068
336,mikhaylovka,50.06,43.2379,21.99,77,99,11.01,1612609068
337,muncar,-8.4333,114.3333,79.54,82,93,3.09,1612609068
338,dikson,73.5069,80.5464,-30.44,84,55,11.99,1612608570
339,dedza,-14.3779,34.3332,71.67,89,75,3.83,1612609068
340,avera,33.194,-82.5271,44.6,87,90,6.15,1612609068
341,kozulka,50.0351,23.797,28.4,59,0,6.71,1612609068
342,rognan,67.0953,15.3878,24.01,92,97,2.28,1612609068
343,parma,44.8027,10.329,50.0,100,90,2.3,1612609069
344,arcata,40.8665,-124.0828,46.99,93,90,4.45,1612609069
345,basco,20.4487,121.9702,73.27,85,71,20.69,1612609069
346,abu kamal,34.4506,40.9171,63.19,45,0,13.35,1612609069
347,kavaratti,10.5669,72.642,81.34,72,38,11.74,1612608601
348,axim,4.8699,-2.2405,85.41,70,11,7.31,1612609070
349,laplace,30.0666,-90.4801,51.01,91,90,8.05,1612609070
350,praia,14.9215,-23.5087,68.0,77,75,23.02,1612609070
351,penzance,50.1186,-5.5371,46.0,87,20,5.75,1612609070
352,auriflama,-20.6856,-50.5547,70.63,77,0,5.39,1612609070
353,sorland,67.667,12.6934,35.6,64,75,25.32,1612609070
354,esperantinopolis,-4.8667,-44.7083,75.74,87,99,4.25,1612609070
355,bara,10.3744,10.7288,82.4,17,25,24.16,1612608633
356,jacmel,18.2342,-72.5347,73.4,88,55,8.05,1612609070
357,dhidhdhoo,6.8833,73.1,82.87,69,77,9.17,1612609070
358,aswan,24.0934,32.907,76.01,24,0,11.39,1612609070
359,uyskoye,54.3775,60.0047,33.82,97,100,10.67,1612608601
360,bam,29.106,58.357,77.5,14,0,4.7,1612609071
361,praia da vitoria,38.7333,-27.0667,60.01,88,20,9.95,1612609071
362,shenzhen,22.5455,114.0683,73.0,73,0,5.19,1612609024
363,sarlat-la-caneda,44.889,1.2166,48.99,96,100,1.01,1612609071
364,souillac,-20.5167,57.5167,86.0,66,40,11.5,1612608588
365,troitsko-pechorsk,62.7084,56.1964,-3.91,92,100,12.59,1612609071
366,indian head,38.6001,-77.1622,36.0,80,20,5.32,1612609071
367,curup,-3.4667,102.5333,72.77,91,99,1.88,1612609071
368,murgab,37.4966,61.9714,60.8,31,90,18.41,1612609071
369,itarema,-2.9248,-39.9167,82.67,67,83,13.53,1612608579
370,san cristobal,7.7669,-72.225,66.22,89,100,1.99,1612608628
371,dandong,40.1292,124.3947,29.64,93,4,8.21,1612609060
372,rosa zarate,0.3333,-79.4667,73.35,95,96,1.16,1612609072
373,suntar,62.1444,117.6319,-23.21,86,91,2.75,1612609072
374,lorengau,-2.0226,147.2712,82.33,74,66,3.87,1612608571
375,macau,22.2006,113.5461,73.4,77,0,6.91,1612609072
376,lancaster,40.2504,-76.2499,33.8,47,20,4.61,1612609072
377,baghdad,33.3406,44.4009,59.0,94,90,9.22,1612609072
378,trairi,-3.2778,-39.2689,82.65,67,90,10.98,1612609072
379,norman wells,65.282,-126.8329,-41.8,66,40,2.3,1612608600
380,poum,-20.2333,164.0167,80.46,69,4,4.97,1612608570
381,nokaneng,-19.6667,22.2667,82.33,64,100,7.72,1612609072
382,stornoway,58.2093,-6.3865,39.2,75,75,18.41,1612609073
383,phonhong,18.5007,102.4166,82.4,44,8,2.3,1612609073
384,mao,39.8885,4.2658,60.8,88,75,10.36,1612608590
385,hobbs,32.7026,-103.136,46.99,27,1,21.85,1612608812
386,mayo,38.8876,-76.5119,37.4,69,1,10.02,1612609073
387,paamiut,61.994,-49.6678,20.79,80,9,6.91,1612608628
388,tessalit,20.1986,1.0114,86.09,12,65,20.83,1612608555
389,goderich,43.7501,-81.7165,17.6,62,100,24.16,1612608601
390,mantua,45.1667,10.7833,50.0,93,100,1.01,1612609073
391,ambilobe,-13.2,49.05,84.36,75,97,7.18,1612609074
392,ocampo,21.65,-101.5,50.56,43,0,11.99,1612609074
393,kachug,53.9606,105.8817,5.97,92,99,2.57,1612609074
394,garowe,8.4054,48.4845,87.67,23,5,6.64,1612609074
395,sohag,26.557,31.6948,68.0,49,0,6.91,1612609074
396,ladario,-19.0047,-57.6017,70.5,74,58,2.75,1612609074
397,machali,-34.1833,-70.6667,63.23,71,0,0.78,1612609074
398,andenes,69.3143,16.1194,30.2,86,75,28.77,1612609074
399,hwange,-18.3693,26.5019,85.37,61,74,7.67,1612609075
400,aktau,43.65,51.2,39.2,56,75,17.9,1612608594
